ImageFlag,ID,x3D (m),y3D (m),z3D (m)
,1,0.0314,0.8256,3.3393
,1,-0.147,0.5605,3.4281
,1,-0.2079,0.282,3.4282
,1,-0.2167,0.0459,3.3707
,1,-0.2179,-0.014,3.3637
,1,0.2051,0.5376,3.4118
,1,0.2667,0.2653,3.4418
,1,0.2747,0.0274,3.3963
,1,0.2738,-0.0312,3.3928
,1,-0.056,0.1415,3.4032
,1,-0.1015,-0.3817,3.4718
,1,-0.1195,-0.7651,3.5395
,1,-0.1578,-0.8322,3.4853
,1,0.1021,0.1347,3.393
,1,0.1374,-0.3869,3.4824
,1,0.152,-0.7796,3.5024
,1,0.1992,-0.8612,3.4988
044-14,4,-0.1083,0.1748,2.9574
,4,-0.1108,0.252,2.9904
,4,-0.1167,0.6516,2.9764
,4,-0.1187,0.8181,2.9596
,4,-0.2557,0.5357,2.9695
,4,-0.3287,0.256,2.9697
,4,-0.3401,0.002,2.9143
,4,-0.3438,-0.0864,2.8975
,4,0.0126,0.5245,2.9773
,4,0.0938,0.2539,3.0169
,4,0.127,-0.0003,3.0199
,4,0.1402,-0.0893,3.0148
,4,-0.1682,0.112,2.9456
,4,-0.2123,-0.2746,2.984
,4,-0.203,-0.6994,3.1048
,4,-0.1994,-0.7473,3.0199
,4,-0.0438,0.1138,2.9598
,4,-0.0149,-0.3659,3.0746
,4,-0.0396,-0.7945,3.1651
,4,-0.0174,-0.8708,3.1416
046-14,1,-0.3243,0.0881,3.375
,1,-0.3332,0.1642,3.4117
,1,-0.3608,0.5639,3.4015
,1,-0.3651,0.7688,3.3521
,1,-0.5323,0.4334,3.3875
,1,-0.5842,0.1374,3.3591
,1,-0.5781,-0.1071,3.2798
,1,-0.5573,-0.2227,3.2459
,1,-0.1688,0.4562,3.4173
,1,-0.0823,0.1459,3.4316
,1,-0.0424,-0.1023,3.39
,1,-0.0304,-0.1999,3.3555
,1,-0.3997,-0.0004,3.3661
,1,-0.4594,-0.5502,3.425
,1,-0.5019,-0.9437,3.4576
,1,-0.5275,-1.0134,3.3812
,1,-0.2358,0.0127,3.3697
,1,-0.2053,-0.5257,3.4613
,1,-0.1902,-0.9169,3.4975
,1,-0.1351,-1.0003,3.4649
047-14,1,-0.2065,0.2141,3.0153
,1,-0.2158,0.2793,3.0695
,1,-0.2252,0.6435,3.0537
,1,-0.2284,0.8259,3.0092
,1,-0.4007,0.5386,3.0577
,1,-0.4508,0.2738,3.0581
,1,-0.4514,0.0394,2.9863
,1,-0.4472,-0.0342,2.9725
,1,-0.0554,0.5599,3.1022
,1,0.02,0.2765,3.1129
,1,0.0359,0.0372,3.0689
,1,0.0408,-0.05,3.0442
,1,-0.2808,0.1328,2.994
,1,-0.301,-0.442,3.1642
,1,-0.2855,-0.8061,3.2037
,1,-0.2943,-0.8753,3.1705
,1,-0.1252,0.1393,3.0168
,1,-0.1466,-0.4364,3.193
,1,-0.1685,-0.7857,3.2435
,1,-0.1615,-0.8518,3.2146
049-14,3,-0.1446,-0.2126,3.6157
,3,-0.1401,-0.1511,3.6718
,3,-0.156,0.2065,3.6747
,3,-0.1924,0.3849,3.6478
,3,-0.3067,0.109,3.6861
,3,-0.3778,-0.1215,3.7858
,3,-0.4543,-0.2979,3.8312
,3,-0.4796,-0.347,3.8562
,3,0.007,0.1043,3.6474
,3,0.1167,-0.1356,3.6636
,3,0.168,-0.3282,3.6229
,3,0.1755,-0.3667,3.6231
,3,-0.2147,-0.282,3.6122
,3,-0.2624,-0.7527,3.648
,3,-0.2746,-1.0992,3.6444
,3,-0.2799,-1.1529,3.5826
,3,-0.0729,-0.2808,3.594
,3,-0.0525,-0.7553,3.6759
,3,-0.0595,-1.0895,3.7054
,3,-0.0545,-1.1648,3.633
